1887.31,
803.298,
933.095,
604.541,
1829.41,
829.743,
691.887,
1026.02,
293.707,
489.384,
980.54,
1113.06,
1002.51,
695.083,
568.225,
2235.7,
1026.42,
472.228,
495.853,
700.991,
1179.32,
740.858,
1193.79,
571.37,
311.892,
242.654,
154.774,
375.296,
319.66,
1095.68,
1051.12,
1071.81,
963.246,
1301.7,
1706.94,
957.219,
437.387,
800.678,
933.872,
1101.45,
770.085,
1853.19,
712.946,
790.839,
1892.2,
628.514,
102.643,
87.8517,
587.346,
1883.39,
485.867,
1140.06,
1001.58,
865.991,
1665.84,
508.848,
332.402,
485.559,
804.92,
353.806,
299.029,
735.144,
598.8,
2123.06,
700.441,
769.576,
367.414,
712.204,
1009.99,
908.243,
1727.08,
1696.96,
283.997,
924.571,
1376.27,
609.476,
608.84,
356.425,
411.989,
128.369,
288.532,
1011.19,
372.532,
1264.07,
1167.13,
712.45,
401.167,
416.386,
694.845,
554.765,
697.611,
1031.61,
923.52,
805.55,
1197.33,
497.612,
960.555,
1369.16,
1062.33,
168.192,
1077.53,
1414.95,
731.012,
724.19,
959.122,
381.442,
455.547,
230.418,
536.234,
1615.53,
772.766,
1128.84,
870.2,
2013.8,
1460.24,
2048.47,
754.15,
1478.47,
828.095,
1023.63,
392.124,
694.29,
460.425,
399.846,
573.817,
270.817,
491.472,
272.158,
601.573,
893.077,
467.357,
610.6,
886.527,
2068.77,
909.418,
271.02,
841.818,
930.325,
557.282,
478.773,
1385.38,
1174,
1054.38,
748.638,
644.081,
1644.96,
2607.14,
418.935,
743.261,
620.399,
330.184,
1115.4,
461.242,
438.173,
903.431,
1253.23,
949.995,
748.792,
932.877,
449.62,
991.816,
426.947,
596.343,
601.64,
616.727,
1581.36,
1155.91,
603.934,
1085.03,
1207.15,
583.597,
638.011,
462.353,
480.884,
296.475,
931.077,
1331.87,
851.384,
1032.81,
966.29,
598.48,
483.136,
374.748,
189.109,
1347.83,
286.587,
240.064,
634.067,
1012.08,
404.352,
132.146,
466.094,
844.907,
873.033,
401.719,
766.182,
533.422,
469.808,
2353.85,
1984.28,
732.019,
705.095,
1624.11,
481.292,
519.631,
786.371,
930.881,
564.799,
406.751,
717.926,
373.712,
660.338,
685.458,
341.025,
923.759,
545.601,
856.769,
