<<<<<<< HEAD
93.4827,
142.262,
171.71,
115.969,
34.2987,
42.0451,
68.5603,
4.22372,
8.15247,
15.89,
131.455,
51.8186,
58.0821,
99.8777,
37.0551,
22.1706,
146.69,
129.8,
87.299,
99.5687,
23.7433,
38.4736,
20.5904,
9.35822,
12.0481,
128.658,
26.2689,
9.83405,
6.04939,
11.6513,
47.7576,
29.7444,
16.4214,
21.5855,
61.6438,
21.8377,
28.8029,
86.5138,
110.82,
39.8774,
54.0877,
0.68505,
10.4666,
2.80235,
8.97415,
13.4702,
1.37375,
3.23008,
46.3793,
61.4774,
479.811,
135.938,
22.0141,
21.6684,
42.5661,
66.3805,
53.0878,
11.6743,
29.5934,
55.5231,
102.712,
22.4742,
95.7515,
30.3762,
23.3597,
75.1504,
39.3954,
34.6835,
19.2426,
10.1858,
55.9805,
3.34902,
9.85692,
4.99178,
21.3518,
97.781,
22.0476,
43.3096,
49.3513,
216.664,
128.358,
55.1198,
27.8446,
43.9383,
60.6541,
7.35227,
36.1193,
0.614198,
328.66,
86.0522,
30.0996,
12.3055,
35.0245,
20.1679,
28.1779,
13.2661,
1.42507,
19.6664,
10.6858,
82.0465,
28.2003,
79.8969,
136.487,
81.0963,
45.9684,
168.53,
95.7483,
83.6447,
47.9071,
22.1592,
41.8035,
101.379,
11.5605,
19.0843,
0.532064,
3.59576,
15.3938,
122.799,
82.7779,
11.9446,
24.6668,
2.76991,
1.74508,
14.6799,
15.2933,
1.88632,
103.415,
60.3576,
105.151,
134.412,
120.235,
93.8331,
79.7791,
19.0563,
57.7029,
58.8,
2.69381,
29.8266,
28.4034,
54.6987,
94.3391,
50.5645,
96.6018,
114.229,
336.839,
98.8768,
27.709,
9.59132,
17.5964,
58.2587,
10.2438,
194.544,
42.0045,
50.32,
30.7617,
59.4092,
168.255,
85.4382,
65.3144,
0.0992052,
10.2291,
50.0585,
15.7405,
18.8862,
0.0183083,
0.159329,
6.62726,
123.371,
62.7868,
36.3727,
28.271,
39.7332,
12.2395,
83.7682,
6.41701,
55.1827,
40.6062,
33.259,
82.5613,
43.9616,
57.8474,
33.9902,
108.566,
126.758,
28.4415,
77.2301,
56.1418,
136.52,
121.859,
175.021,
47.58,
46.014,
35.9449,
32.6761,
53.5285,
45.4983,
54.5702,
24.3489,
86.1823,
17.9664,
58.0245,
130.748,
120.412,
86.367,
10.358,
21.6548,
3.85158,
48.8253,
38.3619,
28.1038,
7.08649,
55.0326,
15.7131,
2.29192,
3.5254,
13.4137,
7.48257,
15.8389,
12.7006,
6.43926,
0.770011,
22.1283,
38.6824,
39.275,
48.5356,
8.26762,
48.4577,
144.232,
199.609,
45.7057,
52.18,
38.0929,
25.7275,
59.9325,
111.941,
91.9114,
43.901,
201.944,
5.29806,
14.9467,
4.4307,
1.20807,
1.43687,
30.1186,
58.6762,
11.107,
112.295,
92.0154,
135.314,
53.2771,
44.9477,
53.2757,
429.518,
174.739,
60.4384,
124.963,
11.0191,
65.119,
53.1328,
27.9928,
78.867,
77.0048,
74.4387,
12.7149,
21.1195,
29.878,
10.8367,
11.7402,
6.8478,
2.52254,
20.1086,
21.2856,
63.7997,
301.999,
42.6402,
5.20536,
5.00469,
56.5251,
19.4372,
40.4824,
23.0141,
10.7084,
8.87623,
7.31679,
35.7521,
45.766,
129.06,
36.0775,
22.6388,
68.1427,
19.4209,
3.53091,
4.5899,
38.1385,
26.825,
51.3186,
67.4463,
17.2582,
99.3847,
40.9667,
35.2233,
157.061,
28.5124,
55.1451,
35.6097,
37.823,
16.4529,
31.5293,
174.782,
52.9831,
2.7255,
314.141,
413.919,
3.88788,
24.4719,
16.7967,
1.82482,
9.68274,
0.792011,
14.9355,
72.9055,
97.5251,
98.3265,
40.4285,
31.467,
24.5598,
5.16156,
7.47295,
84.3337,
84.9373,
76.6444,
146.621,
42.1317,
11.0684,
2.72814,
13.9124,
21.0882,
54.934,
33.1923,
18.5617,
13.7752,
49.5181,
6.35447,
15.0651,
17.2174,
11.3967,
128.076,
34.5065,
67.4026,
17.6697,
60.4013,
79.0193,
175.31,
39.9723,
152.756,
62.1096,
61.8909,
15.6339,
35.7783,
30.4573,
21.0091,
6.70637,
27.0121,
29.6133,
9.7369,
9.8548,
17.1204,
17.1018,
4.54908,
13.7638,
70.3346,
55.9678,
30.3435,
25.1098,
50.0875,
39.3764,
18.9385,
38.1531,
24.5054,
253.524,
10.7282,
9.68442,
26.6682,
17.5751,
26.4519,
22.4129,
26.8026,
16.6514,
24.501,
17.0724,
37.2918,
5.58897,
9.17858,
29.1404,
15.5292,
46.0864,
9.02339,
16.6042,
1.24959,
24.6879,
7.57699,
16.5709,
45.9149,
7.21911,
34.7019,
3.43394,
9.72714,
8.74615,
411.864,
585.889,
18.2956,
4.27336,
15.0013,
18.1465,
83.5205,
0.753441,
11.5659,
159.263,
47.4328,
42.5674,
4.01228,
168.461,
111.21,
8.35193,
17.9752,
117.937,
163.558,
31.0386,
23.6169,
100.716,
6.95487,
37.0476,
62.894,
88.8037,
51.7858,
117.324,
133.579,
27.0728,
38.187,
205.335,
22.5817,
5.66711,
39.3891,
52.7566,
18.2033,
1.14195,
8.21533,
21.7996,
2.48046,
5.57379,
0.00205847,
6.02689,
11.8967,
15.6299,
62.0007,
13.3253,
4.93197,
35.4468,
52.7484,
277.083,
202.988,
45.659,
64.1439,
65.4721,
19.9952,
39.3114,
21.2002,
13.0183,
29.2682,
14.0609,
15.0952,
5.06625,
41.3783,
18.5289,
6.16078,
19.6629,
82.5755,
33.4262,
51.2303,
187.182,
38.0096,
4.4157,
0.328611,
14.7528,
36.4486,
84.8348,
6.10687,
4.295,
2.10878,
16.5151,
81.1071,
102.979,
54.535,
5.20875,
7.60682,
2.42188,
5.0413,
9.30937,
5.82151,
3.74104,
1.00925,
0.904639,
12.3809,
51.1586,
58.9301,
13.2187,
12.2164,
21.494,
16.2579,
180.812,
104.524,
92.9941,
8.10854,
8.63405,
32.3941,
27.6968,
45.8657,
1.88936,
17.9852,
47.5545,
134.053,
62.1047,
20.7614,
16.0204,
11.1584,
23.3733,
32.1549,
12.1516,
30.2603,
70.7595,
54.3802,
37.2831,
18.9798,
51.3364,
65.0061,
86.9996,
27.2709,
22.4999,
2.02872,
11.9916,
13.8725,
90.8836,
77.9324,
23.3702,
3.30487,
4.49837,
40.6236,
8.06014,
1.10199,
0.174138,
19.6062,
0.142518,
33.9508,
114.406,
167.4,
46.478,
15.8286,
12.9034,
73.4024,
229.944,
86.5074,
32.7474,
13.7618,
33.1571,
56.3935,
21.9234,
4.23975,
6.09296,
66.8948,
59.6787,
81.2751,
15.387,
8.87473,
24.2742,
6.79073,
76.1053,
11.0349,
81.45,
80.2074,
208.799,
83.7147,
161.254,
317.704,
33.992,
37.0266,
